"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"341","97.464435","157.240.195.56","10.9.2.177","TCP","1434","132731","443  >  56568 [ACK] Seq=132731 Ack=12751 Win=2132 Len=1380 [TCP segment of a reassembled PDU]"
"342","97.464435","157.240.195.56","10.9.2.177","TLSv1.2","187","134111","Application Data"
"343","97.464435","157.240.195.56","10.9.2.177","TCP","1434","134244","443  >  56568 [ACK] Seq=134244 Ack=12751 Win=2132 Len=1380 [TCP segment of a reassembled PDU]"
"344","97.464435","157.240.195.56","10.9.2.177","TLSv1.2","1340","135624","Application Data, Application Data"
"345","97.514425","10.9.2.177","157.240.195.56","TLSv1.2","147","12751","Application Data"
"346","97.515783","157.240.195.56","10.9.2.177","TCP","1434","136910","443  >  56568 [ACK] Seq=136910 Ack=12751 Win=2132 Len=1380 [TCP segment of a reassembled PDU]"
"347","97.515783","157.240.195.56","10.9.2.177","TLSv1.2","187","138290","Application Data"
"348","97.515783","157.240.195.56","10.9.2.177","TCP","1434","138423","443  >  56568 [ACK] Seq=138423 Ack=12751 Win=2132 Len=1380 [TCP segment of a reassembled PDU]"
"349","97.515783","157.240.195.56","10.9.2.177","TLSv1.2","956","139803","Application Data, Application Data"
"350","97.589789","10.9.2.177","157.240.195.56","TLSv1.2","147","12844","Application Data"
"351","97.768100","157.240.195.56","10.9.2.177","TCP","1434","140705","443  >  56568 [ACK] Seq=140705 Ack=12937 Win=2132 Len=1380 [TCP segment of a reassembled PDU]"
"352","97.768100","157.240.195.56","10.9.2.177","TLSv1.2","187","142085","Application Data"
"353","97.768100","157.240.195.56","10.9.2.177","TCP","1434","142218","443  >  56568 [ACK] Seq=142218 Ack=12937 Win=2132 Len=1380 [TCP segment of a reassembled PDU]"
"354","97.768100","157.240.195.56","10.9.2.177","TLSv1.2","1356","143598","Application Data, Application Data"
"355","97.816993","10.9.2.177","157.240.195.56","TLSv1.2","147","12937","Application Data"
"356","97.877018","157.240.195.56","10.9.2.177","TLSv1.2","673","144900","Application Data"
"357","97.877244","157.240.195.56","10.9.2.177","TCP","1434","145519","443  >  56568 [ACK] Seq=145519 Ack=13030 Win=2132 Len=1380 [TCP segment of a reassembled PDU]"
"358","97.877244","157.240.195.56","10.9.2.177","TLSv1.2","105","146899","Application Data"
"359","97.951584","10.9.2.177","157.240.195.56","TLSv1.2","144","13030","Application Data"
"360","98.030898","10.9.2.177","157.240.195.56","TLSv1.2","147","13120","Application Data"
"361","98.039573","157.240.195.56","10.9.2.177","TCP","1434","146950","443  >  56568 [ACK] Seq=146950 Ack=13120 Win=2132 Len=1380 [TCP segment of a reassembled PDU]"
"362","98.039573","157.240.195.56","10.9.2.177","TLSv1.2","287","148330","Application Data, Application Data"
"363","98.124205","10.9.2.177","157.240.195.56","TLSv1.2","147","13213","Application Data"
"364","98.203409","157.240.195.56","10.9.2.177","TLSv1.2","1357","148563","Application Data"
"365","98.302028","10.9.2.177","157.240.195.56","TLSv1.2","147","13306","Application Data"
"366","98.794933","157.240.195.56","10.9.2.177","TCP","1434","149866","443  >  56568 [ACK] Seq=149866 Ack=13399 Win=2132 Len=1380 [TCP segment of a reassembled PDU]"
"367","98.794933","157.240.195.56","10.9.2.177","TLSv1.2","1018","151246","Application Data, Application Data"
