"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"312","39.318514","10.9.2.177","157.240.195.56","TLSv1.2","154","11947","Application Data"
"313","39.366156","157.240.195.56","10.9.2.177","TCP","1434","132578","443  >  56568 [ACK] Seq=132578 Ack=11947 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"314","39.366156","157.240.195.56","10.9.2.177","TLSv1.2","187","133958","Application Data"
"315","39.366156","157.240.195.56","10.9.2.177","TCP","1434","134091","443  >  56568 [ACK] Seq=134091 Ack=11947 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"316","39.366156","157.240.195.56","10.9.2.177","TLSv1.2","1269","135471","Application Data"
"317","39.366516","157.240.195.56","10.9.2.177","TCP","1434","136686","443  >  56568 [ACK] Seq=136686 Ack=11947 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"318","39.366516","157.240.195.56","10.9.2.177","TLSv1.2","985","138066","Application Data, Application Data"
"319","39.376168","10.9.2.177","157.240.195.56","TLSv1.2","150","12047","Application Data"
"320","39.565932","157.240.195.56","10.9.2.177","TLSv1.2","195","138997","Application Data"
"321","39.600002","10.9.2.177","157.240.195.56","TLSv1.2","154","12143","Application Data"
"322","39.632218","157.240.195.56","10.9.2.177","TCP","1434","139138","443  >  56568 [ACK] Seq=139138 Ack=12143 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"323","39.632218","157.240.195.56","10.9.2.177","TLSv1.2","187","140518","Application Data"
"324","39.634567","157.240.195.56","10.9.2.177","TCP","1434","140651","443  >  56568 [ACK] Seq=140651 Ack=12143 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"325","39.634567","157.240.195.56","10.9.2.177","TLSv1.2","1269","142031","Application Data"
"326","39.639285","157.240.195.56","10.9.2.177","TCP","1434","143246","443  >  56568 [ACK] Seq=143246 Ack=12143 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"327","39.639285","157.240.195.56","10.9.2.177","TLSv1.2","777","144626","Application Data, Application Data"
"328","39.762439","10.9.2.177","157.240.195.56","TLSv1.2","150","12243","Application Data"
"329","39.874836","157.240.195.56","10.9.2.177","TLSv1.2","195","145349","Application Data"
"330","39.921436","157.240.195.56","10.9.2.177","TCP","1434","145490","443  >  56568 [ACK] Seq=145490 Ack=12339 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"331","39.921436","157.240.195.56","10.9.2.177","TLSv1.2","187","146870","Application Data"
"332","39.922306","157.240.195.56","10.9.2.177","TCP","1434","147003","443  >  56568 [ACK] Seq=147003 Ack=12339 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"333","39.922306","157.240.195.56","10.9.2.177","TLSv1.2","1269","148383","Application Data"
"334","39.926949","157.240.195.56","10.9.2.177","TCP","1434","149598","443  >  56568 [ACK] Seq=149598 Ack=12339 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"335","39.926949","157.240.195.56","10.9.2.177","TLSv1.2","281","150978","Application Data, Application Data"
"336","39.960670","10.9.2.177","157.240.195.56","TLSv1.2","154","12339","Application Data"
"337","39.996968","10.9.2.177","157.240.195.56","TLSv1.2","150","12439","Application Data"
"338","40.148391","157.240.195.56","10.9.2.177","TLSv1.2","195","151205","Application Data"
"339","40.190282","10.9.2.177","157.240.195.56","TLSv1.2","154","12535","Application Data"
"340","40.518379","10.9.2.177","157.240.195.56","TLSv1.2","150","12635","Application Data"
"341","40.936762","10.9.2.177","157.240.195.56","TLSv1.2","150","12731","Application Data"
"342","41.040283","157.240.195.56","10.9.2.177","TLSv1.2","220","151346","Application Data"
"343","41.043740","10.9.2.177","157.240.195.56","TLSv1.2","146","12827","Application Data"
"344","41.057784","10.9.2.177","157.240.195.56","TLSv1.2","146","12919","Application Data"
"345","41.380079","10.9.2.177","157.240.195.56","TLSv1.2","150","13011","Application Data"
"346","41.731492","10.9.2.177","157.240.195.56","TLSv1.2","150","13107","Application Data"
"347","42.217540","10.9.2.177","157.240.195.56","TLSv1.2","150","13203","Application Data"
"348","42.530494","10.9.2.177","157.240.195.56","TLSv1.2","150","13299","Application Data"
"349","42.985558","10.9.2.177","157.240.195.56","TLSv1.2","150","13395","Application Data"
"350","43.302386","10.9.2.177","157.240.195.56","TLSv1.2","150","13491","Application Data"
"351","43.570438","10.9.2.177","157.240.195.56","TLSv1.2","150","13587","Application Data"
"352","43.786305","10.9.2.177","157.240.195.56","TLSv1.2","150","13683","Application Data"
"353","44.120115","10.9.2.177","157.240.195.56","TLSv1.2","150","13779","Application Data"
"354","44.484142","10.9.2.177","157.240.195.56","TLSv1.2","150","13875","Application Data"
