"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"284","159.904197","10.9.2.177","157.240.195.56","TLSv1.2","131","17615","Application Data"
"285","160.149420","10.9.2.177","157.240.195.56","TLSv1.2","124","17692","Application Data"
"286","160.284769","157.240.195.56","10.9.2.177","TLSv1.2","126","101978","Application Data"
"287","176.587877","10.9.2.177","157.240.195.56","TLSv1.2","124","17762","Application Data"
"288","176.767439","157.240.195.56","10.9.2.177","TLSv1.2","126","102050","Application Data"
"289","178.257284","157.240.195.56","10.9.2.177","TCP","1434","102122","443  >  56568 [ACK] Seq=102122 Ack=17832 Win=1785 Len=1380 [TCP segment of a reassembled PDU]"
"290","178.257284","157.240.195.56","10.9.2.177","TLSv1.2","222","103502","Application Data, Application Data"
"291","178.422698","10.9.2.177","157.240.195.56","TLSv1.2","147","17832","Application Data"
"292","178.424099","157.240.195.56","10.9.2.177","TLSv1.2","1324","103670","Application Data"
"293","178.585259","10.9.2.177","157.240.195.56","TLSv1.2","147","17925","Application Data"
"294","178.586611","157.240.195.56","10.9.2.177","TCP","1434","104940","443  >  56568 [ACK] Seq=104940 Ack=17925 Win=1785 Len=1380 [TCP segment of a reassembled PDU]"
"295","178.586611","157.240.195.56","10.9.2.177","TLSv1.2","862","106320","Application Data, Application Data"
"296","178.713390","10.9.2.177","157.240.195.56","TLSv1.2","147","18018","Application Data"
"297","178.721760","157.240.195.56","10.9.2.177","TCP","1434","107128","443  >  56568 [ACK] Seq=107128 Ack=18018 Win=1785 Len=1380 [TCP segment of a reassembled PDU]"
"298","178.721760","157.240.195.56","10.9.2.177","TLSv1.2","334","108508","Application Data, Application Data"
"299","178.858461","10.9.2.177","157.240.195.56","TLSv1.2","147","18111","Application Data"
"300","179.117696","157.240.195.56","10.9.2.177","TCP","1434","108788","443  >  56568 [ACK] Seq=108788 Ack=18204 Win=1785 Len=1380 [TCP segment of a reassembled PDU]"
"301","179.117696","157.240.195.56","10.9.2.177","TLSv1.2","187","110168","Application Data"
"302","179.117696","157.240.195.56","10.9.2.177","TCP","1434","110301","443  >  56568 [ACK] Seq=110301 Ack=18204 Win=1785 Len=1380 [TCP segment of a reassembled PDU]"
"303","179.117696","157.240.195.56","10.9.2.177","TLSv1.2","117","111681","Application Data"
"304","179.269895","10.9.2.177","157.240.195.56","TLSv1.2","147","18204","Application Data"
"305","181.474620","157.240.195.56","10.9.2.177","TLSv1.2","780","111744","Application Data"
"306","181.483787","10.9.2.177","157.240.195.56","TLSv1.2","146","18297","Application Data"
"307","181.490329","10.9.2.177","157.240.195.56","TLSv1.2","148","18389","Application Data"
"308","181.490487","10.9.2.177","157.240.195.56","TLSv1.2","146","18483","Application Data"
"309","181.490578","10.9.2.177","157.240.195.56","TLSv1.2","148","18575","Application Data"
"310","181.490636","10.9.2.177","157.240.195.56","TLSv1.2","146","18669","Application Data"
"311","181.490686","10.9.2.177","157.240.195.56","TLSv1.2","148","18761","Application Data"
"312","181.490733","10.9.2.177","157.240.195.56","TLSv1.2","146","18855","Application Data"
"313","181.490807","10.9.2.177","157.240.195.56","TLSv1.2","148","18947","Application Data"
"314","181.490868","10.9.2.177","157.240.195.56","TLSv1.2","146","19041","Application Data"
"315","181.490936","10.9.2.177","157.240.195.56","TLSv1.2","148","19133","Application Data"
"316","183.889560","157.240.195.56","10.9.2.177","TLSv1.2","238","112470","Application Data"
"317","183.921707","10.9.2.177","157.240.195.56","TLSv1.2","148","19227","Application Data"
"318","190.793431","157.240.195.56","10.9.2.177","TCP","1434","112654","443  >  56568 [ACK] Seq=112654 Ack=19321 Win=1795 Len=1380 [TCP segment of a reassembled PDU]"
"319","190.793431","157.240.195.56","10.9.2.177","TLSv1.2","187","114034","Application Data"
"320","190.793431","157.240.195.56","10.9.2.177","TCP","1434","114167","443  >  56568 [ACK] Seq=114167 Ack=19321 Win=1795 Len=1380 [TCP segment of a reassembled PDU]"
"321","190.793431","157.240.195.56","10.9.2.177","TLSv1.2","143","115547","Application Data"
"322","190.940161","10.9.2.177","157.240.195.56","TLSv1.2","150","19321","Application Data"
"323","195.809872","157.240.195.56","10.9.2.177","TLSv1.2","195","115636","Application Data"
"324","195.843635","10.9.2.177","157.240.195.56","TLSv1.2","154","19417","Application Data"
"325","199.906180","157.240.195.56","10.9.2.177","TLSv1.3","93","3440","Application Data"
"326","200.312309","10.9.2.177","157.240.195.56","TLSv1.2","124","19517","Application Data"
"327","200.497056","157.240.195.56","10.9.2.177","TLSv1.2","126","115777","Application Data"
"328","200.747405","157.240.195.56","10.9.2.177","TLSv1.2","242","115849","Application Data"
"329","200.816920","10.9.2.177","157.240.195.56","TLSv1.2","126","19587","Application Data"
"330","206.155872","157.240.195.56","10.9.2.177","TCP","1434","116037","443  >  56568 [ACK] Seq=116037 Ack=19659 Win=1795 Len=1380 [TCP segment of a reassembled PDU]"
"331","206.155872","157.240.195.56","10.9.2.177","TLSv1.2","360","117417","Application Data, Application Data"
"332","206.397687","10.9.2.177","157.240.195.56","TLSv1.2","150","19659","Application Data"
"333","206.418268","157.240.195.56","10.9.2.177","TCP","1434","117723","443  >  56568 [ACK] Seq=117723 Ack=19659 Win=1795 Len=1380 [TCP segment of a reassembled PDU]"
"334","206.418268","157.240.195.56","10.9.2.177","TLSv1.2","888","119103","Application Data, Application Data"
"335","206.604633","10.9.2.177","157.240.195.56","TLSv1.2","150","19755","Application Data"
"336","211.170415","157.240.195.56","10.9.2.177","TLSv1.2","219","119937","Application Data"
"337","211.204335","10.9.2.177","157.240.195.56","TLSv1.2","154","19851","Application Data"
"338","217.317656","10.9.2.177","157.240.195.56","TLSv1.2","124","19951","Application Data"
"339","217.619071","157.240.195.56","10.9.2.177","TLSv1.2","126","120102","Application Data"
"340","230.116621","157.240.195.56","10.9.2.177","TLSv1.2","490","120174","Application Data"
"341","230.213519","10.9.2.177","157.240.195.56","TLSv1.2","150","20021","Application Data"
"342","234.177152","10.9.2.177","157.240.195.56","TLSv1.2","124","20117","Application Data"
"343","234.411670","157.240.195.56","10.9.2.177","TLSv1.2","126","120610","Application Data"
"344","246.195898","157.240.195.56","10.9.2.177","TCP","1434","120682","443  >  56568 [ACK] Seq=120682 Ack=20187 Win=1795 Len=1380 [TCP segment of a reassembled PDU]"
"345","246.196320","157.240.195.56","10.9.2.177","TLSv1.2","942","122062","Application Data, Application Data"
"346","246.355695","10.9.2.177","157.240.195.56","TLSv1.2","147","20187","Application Data"
"347","248.351683","157.240.195.56","10.9.2.177","TCP","1434","122950","443  >  56568 [ACK] Seq=122950 Ack=20280 Win=1795 Len=1380 [TCP segment of a reassembled PDU]"
"348","248.351683","157.240.195.56","10.9.2.177","TLSv1.2","686","124330","Application Data, Application Data"
"349","248.464117","10.9.2.177","157.240.195.56","TLSv1.2","147","20280","Application Data"
"350","249.795554","157.240.195.56","10.9.2.177","TLSv1.2","314","124962","Application Data"
"351","249.832171","10.9.2.177","157.240.195.56","TLSv1.2","129","20373","Application Data"
"352","249.832662","10.9.2.177","157.240.195.56","TLSv1.2","129","20448","Application Data"
"353","250.466347","157.240.195.56","10.9.2.177","TCP","1434","125222","443  >  56568 [ACK] Seq=125222 Ack=20523 Win=1795 Len=1380 [TCP segment of a reassembled PDU]"
"354","250.466347","157.240.195.56","10.9.2.177","TLSv1.2","750","126602","Application Data, Application Data"
"355","250.633604","10.9.2.177","157.240.195.56","TLSv1.2","147","20523","Application Data"
"356","253.666123","157.240.195.56","10.9.2.177","TLSv1.2","195","127298","Application Data"
"357","253.706471","10.9.2.177","157.240.195.56","TLSv1.2","129","20616","Application Data"
"358","254.583956","157.240.195.56","10.9.2.177","TCP","1434","127439","443  >  56568 [ACK] Seq=127439 Ack=20691 Win=1795 Len=1380 [TCP segment of a reassembled PDU]"
"359","254.584393","157.240.195.56","10.9.2.177","TLSv1.2","187","128819","Application Data"
"360","254.584393","157.240.195.56","10.9.2.177","TLSv1.2","1353","128952","Application Data"
"361","254.687294","10.9.2.177","157.240.195.56","TLSv1.2","147","20691","Application Data"
"362","257.206377","157.240.195.56","10.9.2.177","TLSv1.2","195","130251","Application Data"
"363","257.235140","10.9.2.177","157.240.195.56","TLSv1.2","129","20784","Application Data"
"364","258.577857","10.9.2.177","157.240.195.56","TLSv1.2","124","20859","Application Data"
"365","258.724663","157.240.195.56","10.9.2.177","TLSv1.2","126","130392","Application Data"
"366","258.775638","157.240.195.56","10.9.2.177","TLSv1.2","206","130464","Application Data"
"367","258.779249","10.9.2.177","157.240.195.56","TLSv1.2","148","20929","Application Data"
"368","262.082236","157.240.195.56","10.9.2.177","TCP","1434","130616","443  >  56568 [ACK] Seq=130616 Ack=21023 Win=1795 Len=1380 [TCP segment of a reassembled PDU]"
"369","262.082236","157.240.195.56","10.9.2.177","TLSv1.2","569","131996","Application Data, Application Data"
"370","262.207237","10.9.2.177","157.240.195.56","TLSv1.2","150","21023","Application Data"
"371","263.388881","157.240.195.56","10.9.2.177","TCP","1434","132511","443  >  56568 [ACK] Seq=132511 Ack=21119 Win=1795 Len=1380 [TCP segment of a reassembled PDU]"
"372","263.388881","157.240.195.56","10.9.2.177","TLSv1.2","633","133891","Application Data, Application Data"
"373","263.529108","10.9.2.177","157.240.195.56","TLSv1.2","150","21119","Application Data"
"374","264.221334","157.240.195.56","10.9.2.177","TLSv1.2","1399","134470","Application Data"
"375","264.433762","10.9.2.177","157.240.195.56","TLSv1.2","150","21215","Application Data"
"376","268.138136","157.240.195.56","10.9.2.177","TCP","1434","135815","443  >  56568 [ACK] Seq=135815 Ack=21311 Win=1795 Len=1380 [TCP segment of a reassembled PDU]"
"377","268.138136","157.240.195.56","10.9.2.177","TLSv1.2","697","137195","Application Data, Application Data"
"378","268.277492","10.9.2.177","157.240.195.56","TLSv1.2","150","21311","Application Data"
"379","269.709934","157.240.195.56","10.9.2.177","TCP","1434","137838","443  >  56568 [ACK] Seq=137838 Ack=21407 Win=1795 Len=1380 [TCP segment of a reassembled PDU]"
"380","269.709934","157.240.195.56","10.9.2.177","TLSv1.2","841","139218","Application Data, Application Data"
"381","269.858461","10.9.2.177","157.240.195.56","TLSv1.2","150","21407","Application Data"
"382","270.059738","157.240.195.56","10.9.2.177","TLSv1.2","206","140005","Application Data"
"383","270.077752","10.9.2.177","157.240.195.56","TLSv1.2","148","21503","Application Data"
