"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"465","409.496544","157.240.195.56","10.9.2.177","TLSv1.2","126","88124","Application Data"
"466","414.305256","157.240.195.56","10.9.2.177","TLSv1.2","824","88196","Application Data"
"467","414.482071","10.9.2.177","157.240.195.56","TLSv1.2","150","23297","Application Data"
"468","414.489689","157.240.195.56","10.9.2.177","TLSv1.2","195","88966","Application Data"
"469","414.509648","10.9.2.177","157.240.195.56","TLSv1.2","154","23393","Application Data"
"470","415.664700","157.240.195.56","10.9.2.177","TLSv1.2","861","89107","Application Data"
"471","415.911630","10.9.2.177","157.240.195.56","TLSv1.2","147","23493","Application Data"
"472","415.919673","157.240.195.56","10.9.2.177","TLSv1.2","845","89914","Application Data"
"473","416.173395","157.240.195.56","10.9.2.177","TLSv1.2","845","90705","Application Data"
"474","416.285743","10.9.2.177","157.240.195.56","TLSv1.2","147","23586","Application Data"
"475","416.365613","157.240.195.56","10.9.2.177","TLSv1.2","845","91496","Application Data"
"476","416.584751","10.9.2.177","157.240.195.56","TLSv1.2","147","23679","Application Data"
"477","416.674172","157.240.195.56","10.9.2.177","TLSv1.2","845","92287","Application Data"
"478","416.778175","10.9.2.177","157.240.195.56","TLSv1.2","147","23772","Application Data"
"479","416.893207","157.240.195.56","10.9.2.177","TLSv1.2","861","93078","Application Data"
"480","417.095485","10.9.2.177","157.240.195.56","TLSv1.2","147","23865","Application Data"
"481","417.335598","10.9.2.177","157.240.195.56","TLSv1.2","147","23958","Application Data"
"482","419.531634","157.240.195.56","10.9.2.177","TLSv1.2","794","93885","Application Data"
"483","419.583501","10.9.2.177","157.240.195.56","TLSv1.2","131","24051","Application Data"
"484","419.584162","10.9.2.177","157.240.195.56","TLSv1.2","131","24128","Application Data"
"485","419.584676","10.9.2.177","157.240.195.56","TLSv1.2","131","24205","Application Data"
"486","419.596761","10.9.2.177","157.240.195.56","TLSv1.2","131","24282","Application Data"
"487","419.606003","10.9.2.177","157.240.195.56","TLSv1.2","131","24359","Application Data"
"488","419.617115","10.9.2.177","157.240.195.56","TLSv1.2","131","24436","Application Data"
"489","425.361958","157.240.195.56","10.9.2.177","TLSv1.2","854","94625","Application Data"
"490","425.413217","157.240.195.56","10.9.2.177","TLSv1.2","870","95425","Application Data"
"491","425.413457","157.240.195.56","10.9.2.177","TLSv1.2","195","96241","Application Data"
"492","425.415461","157.240.195.56","10.9.2.177","TLSv1.2","195","96382","Application Data"
"493","425.461218","157.240.195.56","10.9.2.177","TLSv1.2","870","96523","Application Data"
"494","425.613129","10.9.2.177","157.240.195.56","TLSv1.2","154","24513","Application Data"
"495","425.613468","10.9.2.177","157.240.195.56","TLSv1.2","154","24613","Application Data"
"496","425.626862","157.240.195.56","10.9.2.177","TLSv1.2","870","97339","Application Data"
"497","425.639120","10.9.2.177","157.240.195.56","TLSv1.2","150","24713","Application Data"
"498","425.639714","157.240.195.56","10.9.2.177","TLSv1.2","195","98155","Application Data"
"499","425.649381","10.9.2.177","157.240.195.56","TLSv1.2","154","24809","Application Data"
"500","425.810254","157.240.195.56","10.9.2.177","TLSv1.2","195","98296","Application Data"
"501","425.813807","10.9.2.177","157.240.195.56","TLSv1.2","154","24909","Application Data"
"502","425.949466","157.240.195.56","10.9.2.177","TLSv1.2","870","98437","Application Data"
"503","426.122684","10.9.2.177","157.240.195.56","TLSv1.2","150","25009","Application Data"
"504","426.125931","157.240.195.56","10.9.2.177","TLSv1.2","195","99253","Application Data"
"505","426.131100","10.9.2.177","157.240.195.56","TLSv1.2","154","25105","Application Data"
"506","426.131554","157.240.195.56","10.9.2.177","TLSv1.2","870","99394","Application Data"
"507","426.448691","10.9.2.177","157.240.195.56","TLSv1.2","150","25205","Application Data"
