"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"5481","138.351626","72.246.151.67","10.9.2.177","TCP","1434","696901","443  >  57268 [PSH, ACK] Seq=696901 Ack=502 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"5482","138.351648","10.9.2.177","72.246.151.67","TCP","54","502","57268  >  443 [ACK] Seq=502 Ack=698281 Win=4215 Len=0"
"5483","138.352093","72.246.151.67","10.9.2.177","TCP","1434","698281","443  >  57268 [ACK] Seq=698281 Ack=502 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"5484","138.353174","72.246.151.67","10.9.2.177","TCP","1434","699661","443  >  57268 [PSH, ACK] Seq=699661 Ack=502 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"5485","138.353174","72.246.151.67","10.9.2.177","TCP","1434","701041","443  >  57268 [ACK] Seq=701041 Ack=502 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"5486","138.353232","10.9.2.177","72.246.151.67","TCP","54","502","57268  >  443 [ACK] Seq=502 Ack=702421 Win=4215 Len=0"
"5487","138.354161","72.246.151.67","10.9.2.177","TLSv1.2","1434","702421","Application Data"
"5488","138.354161","72.246.151.67","10.9.2.177","TCP","1434","703801","443  >  57268 [ACK] Seq=703801 Ack=502 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"5489","138.354203","10.9.2.177","72.246.151.67","TCP","54","502","57268  >  443 [ACK] Seq=502 Ack=705181 Win=4215 Len=0"
"5490","138.354998","72.246.151.67","10.9.2.177","TCP","1434","705181","443  >  57268 [PSH, ACK] Seq=705181 Ack=502 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"5491","138.354998","72.246.151.67","10.9.2.177","TCP","1434","706561","443  >  57268 [ACK] Seq=706561 Ack=502 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"5492","138.355031","10.9.2.177","72.246.151.67","TCP","54","502","57268  >  443 [ACK] Seq=502 Ack=707941 Win=4215 Len=0"
"5493","138.355405","72.246.151.67","10.9.2.177","TCP","1434","707941","443  >  57268 [PSH, ACK] Seq=707941 Ack=502 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
