"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"68","289.987952","157.240.195.56","10.100.102.220","TLSv1.2","183","17680","Application Data"
"69","289.990270","10.100.102.220","157.240.195.56","TLSv1.2","148","3931","Application Data"
"70","292.886562","157.240.195.56","10.100.102.220","TLSv1.2","407","17809","Application Data"
"71","292.937184","10.100.102.220","157.240.195.56","TLSv1.2","129","4025","Application Data"
"72","292.937325","10.100.102.220","157.240.195.56","TLSv1.2","131","4100","Application Data"
"73","297.888965","157.240.195.56","10.100.102.220","TCP","1446","18162","443  >  61098 [ACK] Seq=18162 Ack=4177 Win=390 Len=1392 [TCP segment of a reassembled PDU]"
"74","297.888965","157.240.195.56","10.100.102.220","TLSv1.2","93","19554","Application Data"
"75","297.988232","10.100.102.220","157.240.195.56","TLSv1.2","147","4177","Application Data"
"76","301.946265","157.240.195.56","10.100.102.220","TLSv1.2","265","19593","Application Data"
"77","301.984571","10.100.102.220","157.240.195.56","TLSv1.2","129","4270","Application Data"
"78","303.940498","157.240.195.56","10.100.102.220","TLSv1.2","243","21196","[TCP Previous segment not captured] , Ignored Unknown Record"
"79","304.030922","10.100.102.220","157.240.195.56","TLSv1.2","144","4345","[TCP ACKed unseen segment] , Application Data"
"80","304.252562","157.240.195.56","10.100.102.220","TLSv1.2","183","21385","Application Data"
"81","304.255111","10.100.102.220","157.240.195.56","TLSv1.2","148","4435","Application Data"
"82","305.530144","157.240.195.56","10.100.102.220","TLSv1.2","149","21514","Application Data"
"83","305.533383","10.100.102.220","157.240.195.56","TLSv1.2","148","4529","Application Data"
"84","311.773043","157.240.195.56","10.100.102.220","TLSv1.2","150","21609","Application Data"
"85","311.775710","10.100.102.220","157.240.195.56","TLSv1.2","148","4623","Application Data"
"86","313.532443","10.100.102.220","157.240.195.56","TLSv1.2","123","4717","Application Data"
"87","313.722120","157.240.195.56","10.100.102.220","TLSv1.2","125","21705","Application Data"
"88","314.179005","10.100.102.220","157.240.195.56","TLSv1.2","113","4786","Application Data"
"89","322.055324","157.240.195.56","10.100.102.220","TCP","1446","21776","443  >  61098 [ACK] Seq=21776 Ack=4845 Win=390 Len=1392 [TCP segment of a reassembled PDU]"
"90","322.055324","157.240.195.56","10.100.102.220","TLSv1.2","275","23168","Application Data, Application Data"
"91","322.159091","10.100.102.220","157.240.195.56","TLSv1.2","144","4845","Application Data"
"92","322.211086","10.100.102.220","157.240.195.56","TLSv1.2","156","4935","Application Data"
"93","322.429410","157.240.195.56","10.100.102.220","TLSv1.2","143","23389","Application Data"
"94","322.539967","157.240.195.56","10.100.102.220","TLSv1.2","183","23478","Application Data"
"95","322.542726","10.100.102.220","157.240.195.56","TLSv1.2","148","5037","Application Data"
"96","337.986004","157.240.195.56","10.100.102.220","TCP","1446","23607","443  >  61098 [ACK] Seq=23607 Ack=5131 Win=390 Len=1392 [TCP segment of a reassembled PDU]"
"97","337.986004","157.240.195.56","10.100.102.220","TLSv1.2","157","24999","Application Data"
"98","338.112917","10.100.102.220","157.240.195.56","TLSv1.2","144","5131","Application Data"
"99","338.155760","10.100.102.220","157.240.195.56","TLSv1.2","156","5221","Application Data"
"100","338.247233","157.240.195.56","10.100.102.220","TLSv1.2","183","25102","Application Data"
"101","338.250014","10.100.102.220","157.240.195.56","TLSv1.2","148","5323","Application Data"
"102","338.384432","157.240.195.56","10.100.102.220","TLSv1.2","143","25231","Application Data"
"103","363.134591","10.100.102.220","157.240.195.56","TLSv1.2","123","5417","Application Data"
"104","363.308854","157.240.195.56","10.100.102.220","TLSv1.2","125","25320","Application Data"
"105","364.960282","157.240.195.56","10.100.102.220","TLSv1.2","142","25391","Application Data"
"106","364.965816","10.100.102.220","157.240.195.56","TLSv1.2","181","5486","Application Data"
"107","365.181689","157.240.195.56","10.100.102.220","TLSv1.2","324","25479","Application Data"
"108","365.224559","10.100.102.220","157.240.195.56","TLSv1.2","126","5613","Application Data"
"109","376.339038","157.240.195.56","10.100.102.220","TLSv1.2","175","27141","[TCP Previous segment not captured] , Ignored Unknown Record"
"110","376.341623","157.240.195.56","10.100.102.220","TCP","1446","27262","443  >  61098 [ACK] Seq=27262 Ack=5685 Win=390 Len=1392 [TCP segment of a reassembled PDU]"
"111","376.342010","157.240.195.56","10.100.102.220","TLSv1.2","1446","28654","Application Data"
"112","376.342010","157.240.195.56","10.100.102.220","TLSv1.2","840","30046","Application Data"
"113","376.486070","10.100.102.220","157.240.195.56","TLSv1.2","145","5685","[TCP ACKed unseen segment] , Application Data"
"114","376.556203","10.100.102.220","157.240.195.56","TLSv1.2","157","5776","Application Data"
"115","376.750972","157.240.195.56","10.100.102.220","TLSv1.2","144","30832","Application Data"
"116","376.786310","157.240.195.56","10.100.102.220","TLSv1.2","185","30922","Application Data"
"117","376.791146","10.100.102.220","157.240.195.56","TLSv1.2","149","5879","Application Data"
"118","399.058461","10.100.102.220","157.240.195.56","TLSv1.2","123","5974","Application Data"
"119","399.327550","157.240.195.56","10.100.102.220","TLSv1.2","125","31053","Application Data"
"120","404.215548","10.100.102.220","157.240.195.56","TLSv1.2","113","6043","Application Data"
"121","421.650501","157.240.195.56","10.100.102.220","TLSv1.2","142","31124","Application Data"
"122","421.656010","10.100.102.220","157.240.195.56","TLSv1.2","126","6102","Application Data"
"123","427.345915","10.100.102.220","157.240.195.56","TLSv1.2","123","6174","Application Data"
"124","427.586116","157.240.195.56","10.100.102.220","TLSv1.2","125","31212","Application Data"
"125","437.574221","157.240.195.56","10.100.102.220","TLSv1.2","142","31283","Application Data"
"126","437.579332","10.100.102.220","157.240.195.56","TLSv1.2","181","6243","Application Data"
"127","437.817080","157.240.195.56","10.100.102.220","TLSv1.2","331","31371","Application Data"
"128","437.836636","10.100.102.220","157.240.195.56","TLSv1.2","126","6370","Application Data"
"129","457.593350","10.100.102.220","157.240.195.56","TLSv1.2","123","6442","Application Data"
"130","457.807907","157.240.195.56","10.100.102.220","TLSv1.2","125","31648","Application Data"
"131","461.068539","157.240.195.56","10.100.102.220","TLSv1.2","142","31719","Application Data"
"132","461.073767","10.100.102.220","157.240.195.56","TLSv1.2","181","6511","Application Data"
"133","461.380314","157.240.195.56","10.100.102.220","TLSv1.2","327","31807","Application Data"
"134","461.400763","10.100.102.220","157.240.195.56","TLSv1.2","126","6638","Application Data"
"135","472.747678","157.240.195.56","10.100.102.220","TLSv1.2","124","32080","Application Data"
"136","487.873039","10.100.102.220","157.240.195.56","TLSv1.2","123","6710","Application Data"
"137","488.060449","157.240.195.56","10.100.102.220","TLSv1.2","125","32150","Application Data"
"138","504.135487","10.100.102.220","157.240.195.56","TLSv1.2","123","6779","Application Data"
"139","504.337290","157.240.195.56","10.100.102.220","TLSv1.2","125","32221","Application Data"
"140","512.122383","157.240.195.56","10.100.102.220","TLSv1.2","142","32292","Application Data"
"141","512.127567","10.100.102.220","157.240.195.56","TLSv1.2","181","6848","Application Data"
"142","512.363587","157.240.195.56","10.100.102.220","TLSv1.2","318","32380","Application Data"
"143","512.383468","10.100.102.220","157.240.195.56","TLSv1.2","126","6975","Application Data"
"144","514.067513","157.240.195.56","10.100.102.220","TLSv1.2","142","32644","Application Data"
"145","514.070765","10.100.102.220","157.240.195.56","TLSv1.2","181","7047","Application Data"
"146","514.372613","157.240.195.56","10.100.102.220","TLSv1.2","318","32732","Application Data"
"147","514.375376","10.100.102.220","157.240.195.56","TLSv1.2","126","7174","Application Data"
"148","514.533806","157.240.195.56","10.100.102.220","TLSv1.2","142","32996","Application Data"
"149","514.538864","10.100.102.220","157.240.195.56","TLSv1.2","181","7246","Application Data"
"150","514.769855","157.240.195.56","10.100.102.220","TLSv1.2","318","33084","Application Data"
"151","514.775138","10.100.102.220","157.240.195.56","TLSv1.2","126","7373","Application Data"
