"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"72","161.126138","10.100.102.220","157.240.195.56","TLSv1.3","152","582","Application Data"
"73","161.126339","10.100.102.220","157.240.195.56","TLSv1.3","592","680","Application Data"
"74","161.240643","157.240.195.56","10.100.102.220","TLSv1.3","225","213","Application Data"
"75","161.240643","157.240.195.56","10.100.102.220","TLSv1.3","128","384","Application Data"
"76","161.240937","157.240.195.56","10.100.102.220","TLSv1.3","98","458","Application Data"
"77","161.240937","157.240.195.56","10.100.102.220","TLSv1.3","446","502","Application Data"
"78","161.240937","157.240.195.56","10.100.102.220","TLSv1.3","1446","2286","[TCP Previous segment not captured] , Continuation Data"
"79","161.240937","157.240.195.56","10.100.102.220","TLSv1.3","212","3678","Continuation Data"
"80","161.241442","10.100.102.220","157.240.195.56","TLSv1.3","85","1218","[TCP ACKed unseen segment] , Application Data"
"81","165.582123","157.240.195.56","10.100.102.220","TLSv1.2","172","9592","Application Data"
"82","165.598197","10.100.102.220","157.240.195.56","TLSv1.2","148","4983","Application Data"
"83","177.894749","10.100.102.220","157.240.195.56","TLSv1.2","123","5077","Application Data"
"84","178.122176","157.240.195.56","10.100.102.220","TLSv1.2","125","9710","Application Data"
"85","188.161565","157.240.195.56","10.100.102.220","TLSv1.2","174","9781","Application Data"
"86","188.199041","10.100.102.220","157.240.195.56","TLSv1.2","149","5146","Application Data"
"87","194.566931","157.240.195.56","10.100.102.220","TLSv1.2","149","9901","Application Data"
"88","194.570941","10.100.102.220","157.240.195.56","TLSv1.2","148","5241","Application Data"
"89","203.779269","10.100.102.220","157.240.195.56","TLSv1.2","123","5335","Application Data"
"90","204.097834","157.240.195.56","10.100.102.220","TLSv1.2","125","9996","Application Data"
"91","206.973887","157.240.195.56","10.100.102.220","TLSv1.2","148","10067","Application Data"
"92","206.976581","10.100.102.220","157.240.195.56","TLSv1.2","146","5404","Application Data"
"93","211.908901","157.240.195.56","10.100.102.220","TLSv1.2","333","10161","Application Data"
"94","211.929520","10.100.102.220","157.240.195.56","TLSv1.2","126","5496","Application Data"
"95","226.319219","157.240.195.56","10.100.102.220","TLSv1.3","93","3836","Application Data"
"96","232.117266","10.100.102.220","157.240.195.56","TLSv1.2","123","5568","Application Data"
"97","232.354737","157.240.195.56","10.100.102.220","TLSv1.2","125","10440","Application Data"
"98","249.249896","10.100.102.220","157.240.195.56","TLSv1.2","123","5637","Application Data"
"99","249.417477","157.240.195.56","10.100.102.220","TLSv1.2","125","10511","Application Data"
"100","255.969869","157.240.195.56","10.100.102.220","TLSv1.2","835","10582","Application Data"
"101","256.149766","10.100.102.220","157.240.195.56","TLSv1.2","144","5706","Application Data"
"102","274.648078","10.100.102.220","157.240.195.56","TLSv1.2","123","5796","Application Data"
"103","274.953927","157.240.195.56","10.100.102.220","TLSv1.2","125","11363","Application Data"
"104","291.852510","157.240.195.56","10.100.102.220","TLSv1.2","183","11434","Application Data"
"105","291.890613","10.100.102.220","157.240.195.56","TLSv1.2","148","5865","Application Data"
"106","293.644440","10.100.102.220","157.240.195.56","TLSv1.2","113","5959","Application Data"
"107","294.464647","10.100.102.220","157.240.195.56","TLSv1.2","123","6018","Application Data"
"108","294.815504","157.240.195.56","10.100.102.220","TLSv1.2","125","11563","Application Data"
"109","295.321589","10.100.102.220","157.240.195.56","TLSv1.2","156","6087","Application Data"
"110","295.565221","157.240.195.56","10.100.102.220","TLSv1.2","143","11634","Application Data"
"111","297.895010","10.100.102.220","157.240.195.56","TLSv1.2","156","6189","Application Data"
"112","298.105934","157.240.195.56","10.100.102.220","TLSv1.2","143","11723","Application Data"
"113","303.934508","157.240.195.56","10.100.102.220","TLSv1.2","133","11812","Application Data"
